canonical_label,csv_label_name,data_classification,category_type,csv_note_aliases,positive_triggers,value_patterns,example_surface_forms,negative_triggers,rule_mode,rule_safe,needs_context,priority,auto_redact_default,implementation_phase,training_template_notes
CREDIT_CARD_EXPIRY,Credit Card Expiry Details,Protected,Payment,Credit Card Expiration; Credit Card End Date; CreditCardExpiryDetails; Debitcardexpirytdetails; debitcardenddate,card expiry; card exp; cc exp; credit card expiry; debit card expiry; expires; exp,MONTH_YEAR; MONTH_YEAR_4DIGIT,card exp 08/29; credit card expiry: 08/2029; card used ... exp 11/27,medicare; passport; visa; contract; membership; student card; library card,context_required,yes,yes,82,yes,phase_1,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
CRIMINAL_RECORDS,Criminal Records,Highly Protected,Government,Criminal history; criminal background; criminal check; criminalrecords,criminal record; criminal history; criminal background; police check; criminal check,CRIMINAL_RECORD_TEXT,criminal history check failed; police check notes prior conviction,crime news; course content; generic policy,semantic,no_or_partial,yes,50,review,training,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
DATE_OF_BIRTH,Date of Birth,Protected,Core attributes of a person,DOB; birthdate; birthday; dateofbirth; age,dob; d.o.b; d o b; date of birth; birth date; birthday; bday; born; age; dob on file,DATE_DMY; DATE_DMY_DOT; DATE_DMY_DASH; DATE_TEXT_MONTH; DATE_ISO,DOB: 14/09/2002; bday 7.3.2004; born 14 Sep 2002; date of birth - 22-11-1992; DOB on file: 03/12/2001,room; building; invoice date; receipt date; created; updated; lodged; due date; appointment; semester date,context_required,yes,yes,80,yes,phase_1,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
DEVICE_ID,Device ID,Protected,Tracking/Monitoring,DeviceID; unique device identifier; device identification,device id; deviceid; unique device identifier; device identification; device,DEVICE_ID_ALNUM_DASH,Device ID: IOS-7FA9-00BC-193K; device id ANDROID-A91B-77C0,ticket; invoice; reference; order,context_required,yes,yes,78,yes,phase_1,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
DISABILITY_OR_SPECIFIC_CONDITION,Disability or Specific Condition,Highly Protected,Core attributes of a person,Disability; impairment; medical condition; DisabilityorSpecificCondition,disability; impairment; specific condition; accessibility adjustment; registered condition; medical condition,SENSITIVE_ATTRIBUTE_TEXT,Disability or specific condition: dyslexia; registered impairment; has accessibility adjustment for ADHD,temporary illness; migraine only if not disability context; generic condition,semantic,no_or_partial,yes,51,review,training,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
AU_DRIVERS_LICENCE,Driver's Licence Number,Highly Protected,Government,Driver'sLicenseNumber; DrivingLicenseNumber; Driver's ID; Drivinglicence,driver licence; drivers licence; driver license; driving licence; driving license; licence no; license number; driver id,DRIVERS_LICENCE_DIGITS; DRIVERS_LICENCE_ALNUM,Driver Licence Number: 20987713; driver licence NSW: 2098 771 334; licence no 77142098,invoice; receipt; ticket; reference; permit ref; claim ref; system-generated; uac,context_required,yes,yes,85,yes,phase_1,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
EMAIL,Email address,Protected,Tracking/Monitoring,Email; electronic mail; email ID; Personalemail,email; e-mail; personal email; contact email; email address; profile email,EMAIL,email amelia.chen@student.example.test; personal email: x@example.test; profile email leah.nguyen22@student.example.test,placeholder; sample email; example only; user@example; no-reply; noreply,global_with_placeholder_suppression,yes,no,76,yes,phase_1,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
EMPLOYEE_NUMBER,Employee Number,Highly Protected,Income Related,Employee ID; Staff ID; Worker Number; staffnumber,employee number; employee id; staff id; worker number; staffnumber; employee no,EMPLOYEE_ID,Staff ID: E771942; Employee ID E-771942; worker number W00471982,ticket; invoice; reference; student id,context_required,yes,yes,84,yes,phase_1,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
EMPLOYMENT_INFORMATION,Employment Information,Protected,Income Related,Employmentinformation; career information; Position no,Employment Information; Employmentinformation; career information; Position no,FREE_TEXT_OR_CONTEXT,Employment Information: <value>; Employment Information noted in free text,invoice; receipt; ticket; reference; placeholder; example; public aggregate; policy-only mention,context_required_semantic,partial,yes,50,review,phase_3_or_training,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
FACIAL_RECOGNITION,Facial Recognition,Highly Protected,Biometrics,facial identification; face detection; face matching; Facialrecognition,facial; recognition,NON_TEXT_OR_BIOMETRIC_ARTIFACT,FACIAL_RECOGNITION: attached file / biometric artifact reference; facial recognition noted in record,text-only mention in policy; generic documentation; public example,not_text_span_or_metadata_only,no,yes,20,review,out_of_scope_text_only,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
FINGERPRINT,Fingerprint,Highly Protected,Biometrics,Biometric; Thumbprint,fingerprint,NON_TEXT_OR_BIOMETRIC_ARTIFACT,FINGERPRINT: attached file / biometric artifact reference; fingerprint noted in record,text-only mention in policy; generic documentation; public example,not_text_span_or_metadata_only,no,yes,20,review,out_of_scope_text_only,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
FIRST_NAME,First Name,Protected,Core attributes of a person,given name; personal name,First Name; given name; personal name,FREE_TEXT_OR_CONTEXT,First Name: <value>; First Name noted in free text,invoice; receipt; ticket; reference; placeholder; example; public aggregate; policy-only mention,semantic_or_context_required,partial,yes,50,review,phase_3_or_training,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
ADDRESS,Full Address,Protected,Core attributes of a person,Address; fulladdress; StreetAddress; Address line,address; addr; home address; residential address; mailing address; new address; lives at; Sydney address; overseas address,AU_ADDRESS_LINE; FREE_TEXT_ADDRESS,"home addr: Unit 12B, 8 Wattle Street, Newtown NSW 2042; new address is 2/19 Ocean View Road, Manly NSW 2095",email address; ip address; address id; building only; room only,context_required,partial,yes,62,yes,phase_2,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
PERSON,Full Name,Protected,Core attributes of a person,fullname; complete name; GIVENNAME,name; full name; student; employee; patient; caller; account name; name on passport; preferred name,PERSON_NAME_TEXT,Full name: Amelia Chen; Name on passport: Sofia Martinez-Rivera; Employee: Daniel Wei Huang,bank name; course name; scholarship name; system name; field name,semantic_or_context_text,partial,yes,55,yes,phase_2,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
GENDER,Gender,Protected,Core attributes of a person,Sex; Male; Female; M; F,gender; sex; male/female; m/f; gender identity,GENDER_TEXT,Gender: Female; sex M; gender identity non-binary,grammar gender; public aggregate,semantic,partial,yes,48,review,training,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
GEOLOCATION_INFORMATION,Geolocation Information,Protected,Tracking/Monitoring,Geolocation; Locationinformation; GPS,gps; app gps; geolocation; location; coordinates; lat/long; latitude longitude,GPS_PAIR,"GPS: -33.884210, 151.201770; App GPS -33.88421, 151.20177",version; score pair; lab values; unrelated coordinates without context,context_required,yes,yes,82,yes,phase_1,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
HASHED_PAYMENT_CARD_NUMBER,Hashed Payment Card Number,Highly Protected,Payment,Payment card number; encrypted card number; secure card number,hashed card; encrypted card; secure card number; tokenized card; card hash,HASH_TOKEN; PAYMENT_TOKEN,hashed card: 9f86d081884c7d65; encrypted card number enc_4111...; secure card token tok_...,test token; placeholder token; public hash example,context_required,partial,yes,68,review_or_yes,phase_2,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
HOME_PHONE,Home phone,Protected,Contact Information,landline; house phone; residential telephone,home phone; landline; house phone; residential telephone; dad phone; mum phone; next of kin phone,AU_LANDLINE,Home phone: (02) 9440 7712; landline 02 9188 4410; dad phone (03) 8123 4567,ticket; invoice; reference; room; extension; ext,context_required_or_landline_format,yes,prefer_context,70,yes,phase_1,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
IHI,IHI – unique health identifier,Highly Protected,Government,IHI; health identifier; Individual Healthcare Identifier,ihi; individual healthcare identifier; health identifier,IHI_16_GROUPED; IHI_16_COMPACT,IHI: 8003 6012 4516 7791; individual healthcare identifier 8003601245167791,invoice; receipt; ticket; reference; order,context_required,yes,yes,93,yes,phase_1,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
IP_ADDRESS,IP Address,Protected,Tracking/Monitoring,IP; Internet Protocol Address; Internet Protocol,ip; ip address; last login ip; internet protocol,IPV4,Last login IP: 203.0.113.45; IP address 10.42.19.88,version; section; room; date-like,global_with_context_boost,yes,no_for_valid_ipv4,74,yes,phase_1,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
LAST_NAME,Last Name,Protected,Core attributes of a person,Surname; Family name; Second name,Last Name; Surname; Family name; Second name,FREE_TEXT_OR_CONTEXT,Last Name: <value>; Last Name noted in free text,invoice; receipt; ticket; reference; placeholder; example; public aggregate; policy-only mention,semantic_or_context_required,partial,yes,50,review,phase_3_or_training,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
LATITUDE,Latitude of mailing/residential address,Protected,Tracking/Monitoring,Mailing address latitude; Residential address latitude; Latitude of address; latitude,latitude; lat; mailing address latitude; residential latitude; gps,LATITUDE,latitude -33.884210; lat: -33.88421,score; version; percentage,context_required,partial,yes,65,yes,phase_2,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
LONGITUDE,Longitude of mailing/residential address,Protected,Tracking/Monitoring,Address longitude; longitude of address; residential address longitude; longitude,longitude; long; lng; address longitude; residential longitude; gps,LONGITUDE,longitude 151.201770; lng: 151.20177,score; version; percentage,context_required,partial,yes,65,yes,phase_2,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
MARITAL_STATUS,Marital Status,Protected,Government,marriage status; relationship status; marital situation,marital status; marriage status; relationship status; marital situation,MARITAL_STATUS_TEXT,Marital Status: Single; relationship status married,general discussion; public aggregate,context_required_semantic,partial,yes,48,review,training,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
MEDICARE_EXPIRY,Medicare Expiry,Highly Protected,Government,Medicare expiration; Medicare end date; Medicare coverage end,medicare expiry; medicare expiration; medicare card expiry; medicare end date; card expiry near medicare,MONTH_YEAR; MONTH_YEAR_4DIGIT; DATE_DMY,Medicare expiry: 10/2028; Medicare card expiry 08/2029; card expiry 05/29 after Medicare number,credit card; payment card; passport; contract,context_required,yes,yes,87,yes,phase_1,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
MEDICARE_NUMBER,Medicare Number,Highly Protected,Government,MedicareID; Medicare identification number,medicare; medicare no; medicare number; medicare id; medicare card,MEDICARE_10_GROUPED; MEDICARE_10_COMPACT,Medicare: 2958 44121 3; Medicare number 3149 22033 7,invoice; ticket; reference; account,context_required,yes,yes,91,yes,phase_1,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
MILITARY_OR_VETERAN_STATUS,Military or Veteran Status,Protected,Government,Military; Veteran; Service member,Military or Veteran Status; Military; Veteran; Service member,FREE_TEXT_OR_CONTEXT,Military or Veteran Status: <value>; Military or Veteran Status noted in free text,invoice; receipt; ticket; reference; placeholder; example; public aggregate; policy-only mention,context_required,partial,yes,50,review,phase_3_or_training,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
PHONE,Mobile phone,Protected,Contact Information,Cell phone; smartphone; cellphone; mobile,mobile; cell; cellphone; smartphone; phone; call; contact; tel; m:,AU_MOBILE_LOCAL; AU_MOBILE_INTL,mobile 0412 345 678; mob: 04 19 882 006; +61 418 882 091; phone 0402 118 903,ticket; inc-; invoice; receipt; reference; room; account; uac id; student id,global_with_negative_suppression,yes,no_for_strong_mobile,70,yes,phase_1,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
NATIONAL_IDENTITY_CARD,National Identity Card Details,Highly Protected,Government,National Identity Card,national id; national identity card; identity card; id card; national card,NATIONAL_ID_ALNUM_DASH,national ID card: IND-AU-7741-22X; National Identity Card ID-AU-1234-AB,ticket; invoice; reference; student id,context_required,yes,yes,86,yes,phase_1,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
NATIONALITY,Nationality,Highly Protected,Government,citizenship; country of origin,nationality; country of origin; citizen of; nationality field,NATIONALITY_TEXT,Nationality: Chilean; country of origin India; nationality field says Vietnamese,citizenship status; language; cuisine; public demographic aggregate,context_required_semantic,partial,yes,56,review,phase_2,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
NEXT_OF_KIN,Next of Kin,Highly Protected,Contact Information,Near relative,next of kin; nok; emergency contact; mum; mother; dad; father; guardian; spouse; partner; near relative,PERSON_NAME_TEXT; AU_PHONE,"dad is next of kin, Peter Brooks; emergency contact Grace Park 02 9188 4410; NOK: Mary Chan",ordinary mention; lecturer; admin; officer,context_required,partial,yes,81,yes,phase_2,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
VEHICLE_ID,Number Plate,Protected,Government,numberplate; License Plate; Car Registration Plate,rego; vehicle rego; vehicle registration; number plate; license plate; licence plate; registration plate; car registration,VEHICLE_PLATE_AU; VEHICLE_PLATE_STATE_HYPHEN; VEHICLE_PLATE_GENERIC,Vehicle REGO: CXT72Q; Number Plate: AGL70L; Vehicle Registration (License Plate): VIC-987-XYZ; NSW-123-ABC,ticket; invoice; receipt; reference code; permit ref; system-generated; claim ref; course code,context_required,yes,yes,83,yes,phase_1,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
PASSPORT_EXPIRY,Passport Expiry date,Highly Protected,Government,passport expiration; passport validity; passport expiration date,passport expiry; passport expires; passport expiration; passport validity; expires near passport,DATE_DMY; DATE_TEXT_MONTH; DATE_ISO,Passport P4588129 expires 04/02/2031; passport expiry date 18/11/2030,card expiry; medicare expiry; contract expiry,context_required,yes,yes,86,yes,phase_1,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
AU_PASSPORT,Passport Number,Highly Protected,Government,Passport; Passport ID,passport; passport no; passport number; passport id; name on passport,PASSPORT_AU_STYLE,Passport Number: P4588129; passport N8842190; Passport no. M8842190,invoice; ticket; reference; placeholder,context_required,yes,yes,89,yes,phase_1,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
PASSPORT_START_DATE,Passport Start date,Highly Protected,Government,passport start date; passport issue date; passport commencement date,passport start date; passport issue date; passport issued; passport commencement date; issued near passport,DATE_DMY; DATE_TEXT_MONTH; DATE_ISO,Passport issued 04/02/2021; passport start date 01/03/2020,passport expiry; card issue; student card,context_required,yes,yes,84,yes,phase_1,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
PAYMENT_CARD_NUMBER,Payment Card Number,Highly Protected,Payment,credit card number; bank card number; debit card number,card; card number; credit card; debit card; payment card; card used; visa; mastercard; amex,PAYMENT_CARD_13_19_GROUPED; PAYMENT_CARD_13_19_COMPACT,Card used: 4111 1111 1111 1111; payment card 5555-4444-3333-1111; visa ending full no 4000000000000002,test token; tok_; placeholder; invoice; receipt; reference; order id,context_required_or_luhn,yes,prefer_context,88,yes,phase_1,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
PENSION_CARD_NUMBER,Pension Card / Senior Card Numbers,Protected,Government,Pension Card; Senior Card; SeniorCardNumber; PensionSeniorCard,pension card; senior card; pension card number; senior card number; pensioner concession card,PENSION_CARD_REF,Pension Card: 308 555 221A; Senior Card Number SEN-448812,invoice; ticket; reference without pension context,context_required,partial,yes,72,yes,phase_2,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
PERSONNEL_NUMBER,Personnel Number / Staff Number,Protected,Income Related,Personnel Number; Staff Number; Employee Number,personnel number; staff number; personnel no; staff no; payroll number,PERSONNEL_ID,Personnel Number: P00471982; Staff Number S-009912,ticket; invoice; reference,context_required,yes,yes,83,yes,phase_1,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
PRONOUN,Pronoun,Public,Core attributes of a person,personal pronoun; gender identity,pronoun; pronouns; preferred pronouns,PRONOUN_TEXT,pronouns he/him; preferred pronouns she/her; pronoun: they/them,grammar lesson; generic pronoun discussion,context_required,partial,yes,46,policy_dependent_public,phase_3,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
RACIAL_OR_ETHNIC_ORIGIN,Racial or Ethnic Origin,Highly Protected,Core attributes of a person,Race; Ethnicity; Racial origin; Cultural background,Racial or Ethnic Origin; Race; Ethnicity; Racial origin; Cultural background,FREE_TEXT_OR_CONTEXT,Racial or Ethnic Origin: <value>; Racial or Ethnic Origin noted in free text,invoice; receipt; ticket; reference; placeholder; example; public aggregate; policy-only mention,semantic_or_context_required,partial,yes,50,review,phase_3_or_training,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
RELIGION_BELIEF,Religion / Religious Beliefs,Protected,Core attributes of a person,Religion; faith; spirituality; Religousbeliefs,religion; religious belief; faith; spirituality; religious beliefs; identifies as; religion field,RELIGION_TEXT,Religion / Religious Beliefs: Sikh; religion field says Muslim; identifies as Christian,course religion topic; club name; public event,context_required_semantic,partial,yes,58,review,phase_2,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
SALARY,Salary / Wage,Protected,Income Related,Salary; Pay; Income; wage; earnings,salary; wage; pay; income; earnings; base pay; annual salary; pro rata; package,MONEY_AMOUNT; K_AMOUNT; SALARY_TEXT,"Salary: $74,000 pro rata; start pay 74k; salary on form says $92,500 + casual loading",salary expectation; expected salary; desired salary; budget; project cost; invoice amount,context_required,partial,yes,69,review_or_yes,phase_2,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
SALARY_WAGE_EXPECTATION,Salary / Wage Expectation,Protected,Income Related,Salary expectation; wage expectation,salary expectation; wage expectation; expected salary; desired salary; asking salary; expected pay,MONEY_AMOUNT; K_AMOUNT,"salary expectation: $95,000; desired salary 90k; expected pay $40/hr",actual salary; current salary; start pay; payroll salary,context_required,partial,yes,70,review,phase_2,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
SEXUAL_ORIENTATION,Sexual Orientation,Highly Protected,Core attributes of a person,Sexual orientation; sexual preference; sexuality,Sexual Orientation; Sexual orientation; sexual preference; sexuality,FREE_TEXT_OR_CONTEXT,Sexual Orientation: <value>; Sexual Orientation noted in free text,invoice; receipt; ticket; reference; placeholder; example; public aggregate; policy-only mention,semantic_or_context_required,partial,yes,50,review,phase_3_or_training,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
SIGNATURE,Signature,Highly Protected,Biometrics,electronic signature; digital signature,signature,NON_TEXT_OR_BIOMETRIC_ARTIFACT,SIGNATURE: attached file / biometric artifact reference; signature noted in record,text-only mention in policy; generic documentation; public example,not_text_span_or_metadata_only,no,yes,20,review,out_of_scope_text_only,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
SOCIAL_MEDIA_ACCOUNT,Social Media Account,Protected,Tracking/Monitoring,Social mediaaccount; socialmediaprofile,social media account; social profile; facebook profile; instagram profile; linkedin profile,URL; SOCIAL_HANDLE; FREE_TEXT_ACCOUNT,social media account: instagram.com/sambrooks; LinkedIn profile linkedin.com/in/person,email; generic website,context_required,partial,yes,63,review,phase_2,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
SOCIAL_MEDIA_HISTORY,Social Media History,Protected,Tracking/Monitoring,Social media records; online presence; digital footprint,Social Media History; Social media records; online presence; digital footprint,FREE_TEXT_OR_CONTEXT,Social Media History: <value>; Social Media History noted in free text,invoice; receipt; ticket; reference; placeholder; example; public aggregate; policy-only mention,context_required_or_pattern,partial,yes,50,review,phase_3_or_training,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
SOCIAL_MEDIA_ID,Social Media ID,Protected,Tracking/Monitoring,Social media handle; social media username; social media profile,insta; instagram; fb; facebook; x handle; twitter; tiktok; handle; social media handle; social username,SOCIAL_HANDLE,insta @sambrooks_private; TikTok handle @harper_s; X handle @lee_2026,email; at sign in email; slack mention; github issue mention,context_required,partial,yes,67,review_or_yes,phase_2,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
SOCIO_ECONOMIC_STATUS,Socio Economic Status,Highly Protected,Socio Economic,SES; Low SES,ses; low ses; socio economic status; socioeconomic status; low-income background; equity flag; disadvantage flag,SES_TEXT,low SES flag ticked; Socio Economic Status: low SES; equity flag: low-income background,statistics discussion; cohort aggregate; public report,context_required_semantic,partial,yes,58,review,phase_2,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
STUDENT_ID,Student ID,Protected,Government,Student identification; Student identification number; Student ID number,sid; student id; student number; student no; student num; student identification; student record,STUDENT_ID_8_10_GROUPED; STUDENT_ID_8_10_COMPACT,SID: 5102 88411; student number 520077180; student no. 4900 2188; Student ID 509922110,uac; invoice; ticket; receipt; account; acct; phone; mobile; reference; permit,context_required,yes,yes,90,yes,phase_1,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
AU_TFN,TFN,Highly Protected,Government,Tax file number; Taxfilenumber,tfn; tax file number; taxfilenumber; tax file no; tax no,TFN_9_GROUPED; TFN_9_COMPACT,TFN: 834 221 907; tax file number 834221907; tfn 701-882-440,invoice; receipt; ticket; reference; order; student id; uac,context_required_or_checksum,yes,prefer_context,95,yes,phase_1,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
UAC_ID,UAC ID,Highly Protected,Government,UAC; UAC ID; Universities Admissions Centre,uac; uac id; uac no; uac number; universities admissions centre; application number,NINE_DIGIT_GROUPED; NINE_DIGIT_COMPACT,UAC ID 123456789; UAC no. 221 904 778; UAC number: 331882700,reference: uac-; uac-*-test; invoice; ticket; receipt; placeholder; system-generated,context_required,yes,yes,92,yes,phase_1,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
USER_NAME,User Name,Protected,Tracking/Monitoring,Username; loginname,username; user name; login name; user; handle; profile user,USERNAME_TOKEN,Username: leah_nguyen_22; loginname mlee2026; user = sam_brooks,system user; database user; example user; placeholder,context_required,partial,yes,60,yes,phase_2,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
